Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 3,Tank 3T-540,8/10/98,111 3 35.8643,35 55 4.78138,Less Risk,49.1,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),38.8,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",54,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),107,Yes (Above 50 micrograms/liter),0.022,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),965,"No (Below 5,000 micrograms/liter)",0.44,No (Below 15 pico-curies/liter),2.86,No (Below 50 pico-curies/liter),0.3,Yes (Above 0.047 pico-curies/liter),0.22,No (Below 5 Pico-curies per Liter),0.742,No (Below 5 pico-curies/liter),-0.002,No (Below 0.21 pico-curies/liter),0.008,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.01,No (Below 20 pico-curies/liter),-0.004,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter)
Section 2,Cottonwood Well,6/15/99,109 1 53.8475,36 46 24.7476,Some Risk,50.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),213,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),137,"No (Below 1,300 micrograms/liter)",174,No (Below 300 micrograms/liter),4.8,No (Below 15 micrograms/liter),2.1,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),2.9,No (Below 260 micrograms/liter),392,"No (Below 5,000 micrograms/liter)",6.5,No (Below 15 pico-curies/liter),2.69,No (Below 50 pico-curies/liter),0.73,Yes (Above 0.047 pico-curies/liter),0.102,No (Below 5 Pico-curies per Liter),0,No (Below 5 pico-curies/liter),-0.002,No (Below 0.21 pico-curies/liter),0.023,No (Below 1.3 pico-curies/liter),1.92,Yes (Above 1.5 pico-curies/liter),4.12,No (Below 20 pico-curies/liter),0.042,No (Below 20 pico-curies/liter),2.89,No (Below 20 pico-curies/liter)
Section 3,Shadow Mountain Well,8/11/98,111 26 29.119,36 2 1.742999,Some Risk,94.6,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),6.6,No (Below 50 micrograms/liter),72.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),8,"No (Below 1,300 micrograms/liter)",674,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),18.3,No (Below 50 micrograms/liter),0.16,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3.3,Yes (Above 2 micrograms/liter),9.2,No (Below 260 micrograms/liter),36.1,"No (Below 5,000 micrograms/liter)",12.1,No (Below 15 pico-curies/liter),14.7,No (Below 50 pico-curies/liter),0.39,Yes (Above 0.047 pico-curies/liter),0.096,No (Below 5 Pico-curies per Liter),0.822,No (Below 5 pico-curies/liter),0.007,No (Below 0.21 pico-curies/liter),0.02,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),6.21,No (Below 20 pico-curies/liter),0.051,No (Below 20 pico-curies/liter),5.3,No (Below 20 pico-curies/liter)
Section 7,Goulding Well,1/12/00,110 13 4.8168,37 0 17.62621,Some Risk,30,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0.4,No (Below 50 micrograms/liter),198,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),4.3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),5.3,No (Below 260 micrograms/liter),12.4,"No (Below 5,000 micrograms/liter)",1.2,No (Below 15 pico-curies/liter),3.1,No (Below 50 pico-curies/liter),1.6,Yes (Above 0.047 pico-curies/liter),0,No (Below 5 Pico-curies per Liter),2.3,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.3,No (Below 1.3 pico-curies/liter),0.3,No (Below 1.5 pico-curies/liter),1.5,No (Below 20 pico-curies/liter),0.4,No (Below 20 pico-curies/liter),1.3,No (Below 20 pico-curies/liter)
Section 3,Al Hasteen Nez Spring,1/20/00,111 0 13.9859,36 4 54.38881,Some Risk,311,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),1.3,No (Below 50 micrograms/liter),21.8,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.2,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",253,No (Below 300 micrograms/liter),2.4,No (Below 15 micrograms/liter),234,Yes (Above 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),0,"No (Below 5,000 micrograms/liter)",1.3,No (Below 15 pico-curies/liter),40.6,No (Below 50 pico-curies/liter),1.7,Yes (Above 0.047 pico-curies/liter),0.1,No (Below 5 Pico-curies per Liter),1.6,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.3,No (Below 1.3 pico-curies/liter),0.3,No (Below 1.5 pico-curies/liter),0.6,No (Below 20 pico-curies/liter),0.2,No (Below 20 pico-curies/liter),0.3,No (Below 20 pico-curies/liter)
Section 3,Bodaway Gap Chapter House,8/4/98,111 27 30.440,36 18 13.6475,Some Risk,71.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4.6,No (Below 50 micrograms/liter),41.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),14.7,"No (Below 1,300 micrograms/liter)",160,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.1,No (Below 50 micrograms/liter),0.02,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3,Yes (Above 2 micrograms/liter),5.8,No (Below 260 micrograms/liter),21,"No (Below 5,000 micrograms/liter)",2.41,No (Below 15 pico-curies/liter),2.7,No (Below 50 pico-curies/liter),0.78,Yes (Above 0.047 pico-curies/liter),0.022,No (Below 5 Pico-curies per Liter),0.17,No (Below 5 pico-curies/liter),0.013,No (Below 0.21 pico-curies/liter),0.011,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.39,No (Below 20 pico-curies/liter),-0.004,No (Below 20 pico-curies/liter),0.56,No (Below 20 pico-curies/liter)
Section 3,Open Pit Mine,7/22/98,111 22 24.600,35 52 20.8937,More Risk,82500,"Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),29.8,No (Below 50 micrograms/liter),1150,"Yes (Above 1,000 micrograms/liter)",5,Yes (Above 4 micograms/liter),0.9,No (Below 5 micrograms/liter),14.4,No (Below 100 micrograms/liter),89,"No (Below 1,300 micrograms/liter)",24600,Yes (Above 300 micrograms/liter),38,Yes (Above 15 micrograms/liter),709,Yes (Above 50 micrograms/liter),0.16,No (Below 2 micrograms/liter),17.4,No (Below 730 micrograms/liter),3.8,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),125,No (Below 260 micrograms/liter),88.3,"No (Below 5,000 micrograms/liter)",135,Yes (Above 15 pico-curies/liter),125,Yes (Above 50 pico-curies/liter),9.38,Yes (Above 0.047 pico-curies/liter),7.12,Yes (Above 5 Pico-curies per Liter),3.23,No (Below 5 pico-curies/liter),2.51,Yes (Above 0.21 pico-curies/liter),3.41,Yes (Above 1.3 pico-curies/liter),1.56,Yes (Above 1.5 pico-curies/liter),27.4,Yes (Above 20 pico-curies/liter),1.03,No (Below 20 pico-curies/liter),22.5,Yes (Above 20 pico-curies/liter)
Section 2,Ellison Wells,5/17/99,109 13 32.183,36 34 44.4810,More Risk,44.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),6.3,No (Below 50 micrograms/liter),131,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),52.4,"No (Below 1,300 micrograms/liter)",279,No (Below 300 micrograms/liter),3.2,No (Below 15 micrograms/liter),72.5,Yes (Above 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),6.2,Yes (Above 2 micrograms/liter),11.4,No (Below 260 micrograms/liter),196,"No (Below 5,000 micrograms/liter)",35.5,Yes (Above 15 pico-curies/liter),17.6,No (Below 50 pico-curies/liter),0.83,Yes (Above 0.047 pico-curies/liter),0.099,No (Below 5 Pico-curies per Liter),0.746,No (Below 5 pico-curies/liter),0.006,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),20.4,Yes (Above 20 pico-curies/liter),0.525,No (Below 20 pico-curies/liter),13.8,No (Below 20 pico-curies/liter)
Section 2,Slimwagon Well,9/7/99,109 24 59.186,36 52 8.20621,More Risk,56,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.7,No (Below 50 micrograms/liter),34.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),4.8,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.023,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0.6,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),4.5,No (Below 260 micrograms/liter),51.6,"No (Below 5,000 micrograms/liter)",40.3,Yes (Above 15 pico-curies/liter),22.5,No (Below 50 pico-curies/liter),-0.1,No (Below 0.047 pico-curies/liter),0.4,No (Below 5 Pico-curies per Liter),-3.1,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),49.3,Yes (Above 20 pico-curies/liter),1.9,No (Below 20 pico-curies/liter),24.8,Yes (Above 20 pico-curies/liter)
Section 7,Tank 8A-299,9/2/98,110 17 29.530,36 56 50.6478,More Risk,89.9,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),13.7,No (Below 50 micrograms/liter),13.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",182,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),16.4,No (Below 50 micrograms/liter),0.072,No (Below 2 micrograms/liter),5.3,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),86.2,"No (Below 5,000 micrograms/liter)",155,Yes (Above 15 pico-curies/liter),92.1,Yes (Above 50 pico-curies/liter),0.3,Yes (Above 0.047 pico-curies/liter),7.84,Yes (Above 5 Pico-curies per Liter),0.422,No (Below 5 pico-curies/liter),0.099,No (Below 0.21 pico-curies/liter),0.007,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),91.3,Yes (Above 20 pico-curies/liter),3.83,No (Below 20 pico-curies/liter),76.8,Yes (Above 20 pico-curies/liter)
